Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0.010469036,0.090362851,0.609968125,20706,0,37.39832779,2,2,23,22,2,0.377552211,0.179802956
0.003683898,0.088541954,0.582459181,21926,0,36.86986588,2,2,25,25,4,0.404976003,0.187539907
0.000247037,0.075195026,0.540213237,24855,0,35.88099182,2,1,25,24,4,0.462431814,0.217863609
0,0.048317757,0.514358561,22356,0,33.84174011,2,1,22,26,4,0.531308411,0.222535337
0,0.07054316,0.436694102,14580,0.000274348,31.88749062,2,0,15,25,4,0.659679964,0.233264746
0,0.063202247,0.351531292,8261,0.000484203,31.86536186,1,0,14,23,4,0.728089888,0.348141871
0,0.064491654,0.347422962,7334,0.000545405,32.94214096,1,0,14,18,3,0.698406677,0.372784292
0,0.143314367,0.449974411,7816,0.000511771,34.29978882,0,0,14,15,2,0.402916074,0.367707267
0,0.118971702,0.49064479,6948,0.000575705,35.842686,0,0,6,11,2,0.487245915,0.264968336
0,0.119249753,0.473700938,6293,0.000635627,37.31008759,0,0,2,11,2,0.506021718,0.249483553
0,0.120771944,0.471997301,5928,0,38.13629639,0,0,2,11,2,0.501971363,0.240890688
0,0.117973784,0.470535069,5532,0,38.46258865,0,0,2,11,2,0.502999333,0.221619667
0,0.082838168,0.466958599,5024,0,38.63135101,0,0,0,0,0,0.621111499,0.212977707
0.339990789,0.169161677,0.434708995,4725,0,24.99479935,1,1,13,10,2,0.448502994,0.222433862
0.273880927,0.172086043,0.46372419,5279,0,25.24537903,1,1,15,4,0,0.441470735,0.218791438
0.171706364,0.181870338,0.516842562,6917,0,25.18520737,1,1,22,2,0,0.388028304,0.224663872
0.072342292,0.185547864,0.573012709,8026,0,24.50993568,1,1,24,4,0,0.368732061,0.239970097
0.01457015,0.195652174,0.594624584,8111,0,24.56282555,1,1,25,7,0,0.360183066,0.248428061
0.001336967,0.191008382,0.639056926,6447,0,25.0976046,2,1,26,12,0,0.323850648,0.27097875
0.002534557,0.191843768,0.667826952,6033,0,29.12369194,2,1,32,18,3,0.303561172,0.279960219
0.017198102,0.17570009,0.695266272,5746,0,31.8380488,2,0,35,22,3,0.269196025,0.283849635
0.042203818,0.151039261,0.728734177,7900,0,33.62078818,3,1,37,23,4,0.229561201,0.266708861
0.064890195,0.169391836,0.689924145,13974,0,35.87253118,2,1,29,21,4,0.245382896,0.239086876
0.07106692,0.166863144,0.638651308,20227,0,37.41712677,2,1,24,21,4,0.257207159,0.194591388
0.059981801,0.1603,0.62342628,21446,0,37.78349518,2,1,24,28,4,0.2826,0.194068824
0.036695844,0.150298967,0.596882356,22517,0,37.39266312,2,0,29,30,6,0.34625838,0.199138429
0.013908352,0.136427198,0.554708871,25590,0,36.80868073,2,0,31,32,4,0.476577521,0.225752247
0.001086443,0.109648012,0.524628273,22799,0,34.28286224,2,0,28,28,8,0.598885794,0.228343348
8.57E-06,0.108891663,0.461265373,15774,0.000253582,30.66004776,1,0,21,28,7,0.633236232,0.229808546
0,0.109986605,0.407812994,9497,0.000421186,30.69562035,1,0,14,24,7,0.638934365,0.325050016
0,0.120632713,0.407307962,8566,0.000466962,31.89354897,0,0,16,21,7,0.592386581,0.3409993
0,0.154949447,0.493021746,9243,0.00043276,33.53592163,0,0,19,18,6,0.378791441,0.336903603
0,0.124495289,0.528504279,8297,0.000482102,35.4811676,0,0,18,14,2,0.450874832,0.250813547
0,0.124480609,0.501440922,7287,0.000548923,37.41896164,0,0,10,11,2,0.46433518,0.237271854
0,0.125510583,0.490829165,6597,0,38.22476959,0,0,4,11,2,0.463423691,0.237380628
0,0.120852604,0.487808843,6152,0,38.3776474,0,0,2,11,2,0.472149608,0.219928479
0,0.085056704,0.482909091,5500,0,38.46504669,0,0,0,2,2,0.599733155,0.215636364
0,0.093023256,0.360447066,3221,0,38.35610001,0,0,0,0,0,0.746770026,0.153678982
0,0,0,8,0,38.44401779,0,0,0,0,0,1,0.5
0,0.333333333,0,12,0,38.47276428,0,0,0,0,0,1,0.333333333
0,0.426666667,0.405063291,79,0,38.51593918,0,0,0,0,0,0.573333333,0.316455696
0,0.450704225,0.450704225,71,0,39.15174471,0,0,0,0,0,0.549295775,0.295774648
0.666157652,0.17548812,0.38313413,15060,0,25.26845535,4,4,14,11,5,0.478475653,0.240039841
0.556189706,0.177033493,0.399420723,10703,0,25.37261032,3,1,14,10,4,0.469551979,0.260394282
0.40734303,0.18146376,0.440696972,11593,0,25.25126778,1,1,18,6,0,0.412192096,0.252997498
0.224523389,0.184100418,0.471105974,11248,0,24.86507957,1,1,19,4,0,0.384435146,0.252311522
0.084273163,0.192123833,0.559841615,7829,0,24.78830231,1,1,20,5,1,0.365581607,0.24051603
0.026752416,0.187021894,0.60821873,6108,0,26.08775627,1,1,23,18,3,0.324452651,0.260150622
0.027551018,0.188490409,0.646162028,5641,0,30.13670829,2,1,29,18,4,0.296914095,0.266973941
0.068419955,0.17925636,0.687779434,5368,0,31.57535369,2,0,36,20,4,0.259491194,0.272913562
0.119472585,0.172113752,0.727463038,7643,0,33.64603149,2,0,36,22,4,0.192275042,0.262200707
0.156963286,0.190149045,0.711888638,13290,0,36.00382501,2,0,29,20,5,0.189217513,0.277577126
0.171007958,0.191865606,0.701748252,14300,0,37.63363716,2,1,29,20,4,0.196396994,0.267552448
0.150600491,0.183988325,0.677383004,15086,0,37.44041275,2,1,30,29,4,0.221932659,0.261832162
0.109748541,0.171281758,0.643706876,16812,0,36.82234985,2,1,33,32,6,0.292320868,0.265584107
0.058354598,0.148896237,0.581407035,19900,0,35.92608063,2,1,34,36,9,0.442398785,0.288643216
0.015533687,0.126936903,0.545899063,17179,0,33.70597893,1,1,31,38,7,0.562414776,0.299901042
